OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total,OrderDate
6010,Data,DB,26.62,Peanut Shells,106.00,3.00,-3.00,318.00,-318.00,0.000000,0.000000,11/13/2016
6011,B'Elanna Torres,CB,1.00,Rose Petals,88.00,203.00,1.00,17864.00,88.00,179.5200,18131.5200,10/18/2018
6012,Chakotay,CM,18.54,Inertial Control Modulator,311.00,38.38,0.68,11936.18,211.48,2252.176164,14399.836164,09/09/2018
6015,Martha Jones,CA,32.64,Dandelion Fluff,240.00,3.45,1.10,828.00,264.00,356.428800,1448.428800,01/04/2018
6021,Art3mis,SC,41.56,Holographic Transition Multiplexer,40.00,47.00,2.20,1880.00,88.00,817.900800,2785.900800,04/17/2017
6022,Data,LI,24.47,Holographic Variance Sensor,186.00,37.49,1.83,6973.14,340.38,1789.618344,9103.138344,05/25/2018
6023,Quark,RI,23.25,Peanut Shells,199.00,3.00,-3.00,597.00,-597.00,0.000000,0.000000,07/31/2017
6024,Chakotay,ED,40.00,Holographic Variance Sensor,212.00,37.49,1.83,7947.88,387.96,3334.3360,11670.1760,03/23/2017
6025,Leonard McCoy,ED,40.00,Duotronic Field Transducer,81.00,20.57,3.63,1666.17,294.03,784.0800,2744.2800,05/12/2018
6029,Hiro Protagonist,BS,40.62,Subspace Phase Circuit,268.00,30.25,1.00,8107.00,268.00,3401.925000,11776.925000,07/21/2018
6036,Leonard McCoy,RI,23.25,Negative Control Compensator,197.00,23.10,1.00,4550.70,197.00,1103.840250,5851.540250,08/30/2017
6037,Miles O'Brien,DO,39.00,Secondary Polarization Capacitor,91.00,33.00,3.27,3003.00,297.57,1287.2223,4587.7923,11/06/2017
6038,Darth Sidious,CA,32.64,Duotronic Phase Coil,146.00,51.70,2.84,7548.20,414.64,2599.070976,10561.910976,12/08/2017
6039,Jabba the Hutt,LA,0.00,Dandelion Fluff,122.00,3.45,1.10,420.90,134.20,0.0000,555.1000,08/15/2018
6040,Boba Fett,WE,15.00,Active Dissipation Actuator,173.00,25.43,1.03,4399.39,178.19,686.6370,5264.2170,09/01/2016
6044,BB-8,CY,-4.00,Quantum Replication System,188.00,16.50,3.30,3102.00,620.40,-148.8960,3573.5040,09/16/2016
6051,Doctor Who,RG,53.24,Negative Flux Conduit,113.00,34.61,3.00,3910.93,339.00,2262.662732,6512.592732,10/18/2017
6052,Jonas Quinn,LM,41.00,Inertial Control Modulator,313.00,38.38,0.68,12012.94,212.84,5012.5698,17238.3498,10/23/2017
6057,Darth Sidious,DM,30.27,Negative Polarization Grid,202.00,20.28,2.63,4096.56,531.26,1400.841114,6028.661114,09/21/2017
6059,Lando Calrissian,CC,38.00,Peanut Shells,276.00,3.00,-3.00,828.00,-828.00,0.0000,0.0000,10/16/2017
6060,Chakotay,RI,23.25,Quantum Dissipation Matrix,147.00,28.54,0.58,4195.38,85.26,995.248800,5275.888800,08/10/2017
6066,Sarah Jane Smith,AM,16.94,Modular Polarization Cell,93.00,6.90,0.00,641.70,0.00,108.703980,750.403980,09/24/2016
6071,K-9,SR,43.02,Peanut Shells,178.00,3.00,-3.00,534.00,-534.00,0.000000,0.000000,09/29/2017
6072,Greedo,FC,50.37,Universal Degeneration Emitter,116.00,28.00,3.88,3248.00,450.08,1862.722896,5560.802896,10/03/2018
6077,Luke Skywalker,LF,12.10,Modular Polarization Cell,108.00,6.90,0.00,745.20,0.00,90.16920,835.36920,11/28/2016
6078,Ender Wiggin,OS,29.83,Quantum Dissipation Matrix,355.00,28.54,0.58,10131.70,205.90,3083.706080,13421.306080,11/17/2016
6085,Pavel Chekov,WR,7.59,Magnetic Confinement Injector,201.00,11.98,4.00,2407.98,804.00,243.789282,3455.769282,04/21/2016
6085,Art3mis,LA,0.00,Bioneural Polarization Coil,86.00,36.10,3.99,3104.60,343.14,0.0000,3447.7400,09/18/2017
6086,Darth Sidious,TS,29.62,Duotronic Interference Actuator,166.00,36.30,1.00,6025.80,166.00,1834.011160,8025.811160,04/29/2018
6092,Daniel Jackson,CB,1.00,Dynamic Resonance Buffer,159.00,18.70,4.08,2973.30,648.72,36.2202,3658.2402,04/16/2018
6093,Clara Oswald,GT,27.00,Dynamic Resonance Buffer,123.00,18.70,4.08,2300.10,501.84,756.5238,3558.4638,08/24/2018
6095,Daniel Jackson,BO,21.56,Bioneural Degeneration Sensor,284.00,22.00,3.30,6248.00,937.20,1549.129120,8734.329120,08/17/2018
6096,Q,OS,29.83,Subspace Transference Cell,241.00,45.49,2.37,10963.09,571.17,3440.669758,14974.929758,10/05/2017
6099,Mazer Rackham,DB,26.62,Rose Petals,223.00,203.00,1.00,45269.00,223.00,12109.970400,57601.970400,04/17/2018
6101,Neelix,GT,27.00,Peanut Shells,228.00,3.00,-3.00,684.00,-684.00,0.0000,0.0000,07/16/2018
6102,River Song,BF,30.80,Holographic Transition Multiplexer,239.00,47.00,2.20,11233.00,525.80,3621.71040,15380.51040,10/21/2016
6109,Jack O'Neill,MO,-2.00,Quantum Dissipation Matrix,151.00,28.54,0.58,4309.54,87.58,-87.9424,4309.1776,12/12/2017
6114,Luke Skywalker,FM,17.00,Duotronic Phase Coil,118.00,51.70,2.84,6100.60,335.12,1094.0724,7529.7924,02/24/2018
6115,Jabba the Hutt,WE,15.00,Particle Deflector Grid,284.00,44.33,4.84,12589.72,1374.56,2094.6420,16058.9220,12/28/2017
6116,Donna Noble,PB,12.00,Reserve Axial Dissipation Inverter,287.00,0.00,3.36,0.00,964.32,115.7184,1080.0384,03/21/2017
6117,Pavel Chekov,RG,53.24,Bioneural Polarization Coil,129.00,36.10,3.99,4656.90,514.71,2753.365164,7924.975164,03/31/2017
6117,R2-D2,CO,39.93,Duotronic Phase Coil,220.00,51.70,2.84,11374.00,624.80,4791.120840,16789.920840,09/22/2017
6118,Anakin Skywalker,BS,40.62,Universal Degeneration Emitter,256.00,28.00,3.88,7168.00,993.28,3315.111936,11476.391936,10/16/2018
6119,Luke Skywalker,TA,36.00,Quantum Replication System,300.00,16.50,3.30,4950.00,990.00,2138.4000,8078.4000,07/16/2018
6125,Chakotay,SR,43.02,Gravitronic Polarization Sequencer,310.00,7.82,1.81,2424.20,561.10,1284.276060,4269.576060,11/03/2017
6126,Tuvok,LC,38.00,Duotronic Field Transducer,230.00,20.57,3.63,4731.10,834.90,2115.0800,7681.0800,04/17/2018
6127,Martha Jones,ED,40.00,Modular Polarization Cell,195.00,6.90,0.00,1345.50,0.00,538.2000,1883.7000,12/10/2017
6128,Qui-Gon Jinn,WR,7.59,Quantum Dissipation Matrix,339.00,28.54,0.58,9675.06,196.62,749.260512,10620.940512,04/21/2019
6129,Doctor Who,FA,34.00,Particle Deflector Grid,353.00,44.33,4.84,15648.49,1708.52,5901.3834,23258.3934,12/08/2017
6130,Doctor Who,LI,24.47,Negative Isolinear Control Cell,88.00,16.50,1.84,1452.00,161.92,394.926224,2008.846224,11/25/2017
6130,Andy Weir,AM,16.94,Negative Transference Index,176.00,18.41,3.00,3240.16,528.00,638.326304,4406.486304,12/23/2016
6131,Mazer Rackham,VS,3.30,Particle Deflector Grid,244.00,44.33,4.84,10816.52,1180.96,395.91684,12393.39684,12/22/2016
6132,Martha Jones,LM,41.00,Universal Gravitronic Dissipation Node,252.00,16.87,4.68,4251.24,1179.36,2226.5460,7657.1460,05/27/2017
6133,Senator Palpatine,FA,34.00,Secondary Transition Regulator,160.00,35.69,3.30,5710.40,528.00,2121.0560,8359.4560,03/29/2016
6134,Darth Sidious,LC,38.00,Magnetic Confinement Injector,49.00,11.98,4.00,587.02,196.00,297.5476,1080.5676,10/18/2017
6135,Quark,LS,1.10,Central Frequency Conduit,219.00,18.70,0.34,4095.30,74.46,45.86736,4215.62736,09/08/2016
6136,Tasha Yar,IR,21.00,Primary Flux Matrix,239.00,9.27,0.00,2215.53,0.00,465.2613,2680.7913,02/21/2017
6137,Neelix,LA,0.00,Modular Inertial Replication Scanner,230.00,7.70,3.00,1771.00,690.00,0.0000,2461.0000,09/11/2018
6138,Daniel Jackson,SC,41.56,Marmite,147.00,-1.84,3.30,-270.48,485.10,89.196072,303.816072,09/21/2019
6139,William Riker,FC,50.37,Modular Holographic Interference Drive,357.00,31.21,0.92,11141.97,328.44,5777.645517,17248.055517,06/09/2017
6147,Pavel Chekov,TA,36.00,Particle Deflector Grid,60.00,44.33,4.84,2659.80,290.40,1062.0720,4012.2720,06/29/2018
6148,William Riker,LA,0.00,Dandelion Fluff,239.00,3.80,1.10,908.20,262.90,0.0000,1171.1000,06/09/2017
6153,Admiral Gial Ackbar,CV,53.24,Starboard Molecular Transference Grid,294.00,26.00,2.20,7644.00,646.80,4414.021920,12704.821920,07/24/2017
6154,Miles O'Brien,ED,40.00,Bioneural Polarization Coil,131.00,36.10,3.99,4729.10,522.69,2100.7160,7352.5060,04/22/2018
6154,Worf,GT,27.00,Starboard Molecular Transference Grid,81.00,26.00,2.20,2106.00,178.20,616.7340,2900.9340,12/21/2016
6156,Donna Noble,RC,42.00,Central Frequency Conduit,51.00,18.70,0.34,953.70,17.34,407.8368,1378.8768,11/28/2016
6158,Doctor Who,DO,39.00,Negative Polarization Grid,128.00,20.28,2.63,2595.84,336.64,1143.6672,4076.1472,04/11/2017
6159,BB-8,CM,18.54,Modular Polarization Cell,163.00,6.90,0.00,1124.70,0.00,208.519380,1333.219380,01/04/2017
6160,Wesley Crusher,WZ,42.90,Marmite,153.00,-1.84,3.30,-281.52,504.90,95.83002,319.21002,10/21/2019
6161,Chakotay,TA,36.00,Active Transition Buffer,209.00,39.06,2.20,8163.54,459.80,3104.4024,11727.7424,08/31/2017
6162,Senator Palpatine,VS,3.30,Modular Holographic Interference Drive,345.00,31.21,0.92,10767.45,317.40,365.80005,11450.65005,11/13/2016
6171,Mazer Rackham,CR,0.99,Central Frequency Conduit,298.00,18.70,0.34,5572.60,101.32,56.171808,5730.091808,12/24/2017
6174,Sarah Jane Smith,CO,39.93,Marmite,188.00,-1.84,3.30,-345.92,620.40,109.599864,384.079864,02/10/2017
6180,Darth Sidious,SC,41.56,Subspace Transference Cell,200.00,45.49,2.37,9098.00,474.00,3978.123200,13550.123200,09/25/2018
6185,Teal'c,LI,24.47,Modular Polarization Cell,29.00,6.90,0.00,200.10,0.00,48.964470,249.064470,04/21/2017
6186,Leonard McCoy,RG,53.24,Peanut Shells,183.00,3.00,-3.00,549.00,-549.00,0.000000,0.000000,11/05/2016
6195,Data,CY,-4.00,Modular Holographic Interference Drive,90.00,31.21,0.92,2808.90,82.80,-115.6680,2776.0320,05/21/2019
6196,Lando Calrissian,CY,-4.00,Quantum Replication System,250.00,16.50,3.30,4125.00,825.00,-198.0000,4752.0000,06/29/2018
6200,William Riker,FO,33.19,Subspace Phase Circuit,110.00,30.25,1.00,3327.50,110.00,1140.906250,4578.406250,09/28/2017
6207,Miles O'Brien,SC,41.56,Universal Degeneration Emitter,286.00,28.00,3.88,8008.00,1109.68,3789.307808,12906.987808,07/18/2017
6215,Qui-Gon Jinn,CV,53.24,Active Dissipation Actuator,220.00,25.43,1.03,5594.60,226.60,3099.206880,8920.406880,11/11/2017
6216,Darth Maul,CV,53.24,Forward Ion Pulse Capacitor,44.00,1.09,2.00,47.96,88.00,72.385104,208.345104,01/26/2016
6217,Rory Williams,BF,30.80,Active Dissipation Actuator,176.00,25.43,1.03,4475.68,181.28,1434.34368,6091.30368,01/18/2018
6218,Martha Jones,LA,0.00,Starboard Duotronic Transition Multiplexer,262.00,20.41,3.63,5347.42,951.06,0.0000,6298.4800,09/14/2016
6219,Leonard McCoy,LM,41.00,Negative Transference Index,220.00,18.41,3.00,4050.20,660.00,1931.1820,6641.3820,05/27/2017
6220,Ender Wiggin,LS,1.10,Negative Transference Index,143.00,18.41,3.00,2632.63,429.00,33.67793,3095.30793,05/03/2017
6221,Wesley Crusher,CB,1.00,Dandelion Fluff,27.00,3.80,1.10,102.60,29.70,1.3230,133.6230,10/02/2016
6222,Wade Watts,WE,15.00,Quantum Replication System,171.00,16.50,3.30,2821.50,564.30,507.8700,3893.6700,09/10/2017
6223,Boba Fett,TM,-7.23,Primary Flux Matrix,96.00,9.27,0.00,889.92,0.00,-64.341216,825.578784,09/03/2017
6224,K-9,TF,36.00,Quantum Dissipation Matrix,291.00,31.39,0.58,9134.49,168.78,3349.1772,12652.4472,07/21/2018
6232,Martha Jones,BM,-3.30,Particle Deflector Grid,332.00,44.33,4.84,14717.56,1606.88,-538.70652,15785.73348,09/09/2018
6233,Ender Wiggin,SC,41.56,Duotronic Phase Coil,254.00,51.70,2.84,13131.80,721.36,5757.373296,19610.533296,01/21/2018
6242,River Song,WG,18.89,Subspace Phase Circuit,307.00,30.25,1.00,9286.75,307.00,1812.259375,11406.009375,04/11/2018
6251,Ender Wiggin,WZ,42.90,Gravitronic Polarization Sequencer,119.00,7.82,1.81,930.58,215.39,491.62113,1637.59113,01/13/2018
6252,K-9,PB,12.00,Subspace Phase Circuit,316.00,30.25,1.00,9559.00,316.00,1185.0000,11060.0000,05/03/2017
6258,Pavel Chekov,TS,29.62,Quantum Dissipation Matrix,88.00,31.39,0.58,2762.32,51.04,833.317232,3646.677232,12/05/2017
6261,William Riker,RG,53.24,Burlap,260.00,6.60,0.00,1716.00,0.00,913.598400,2629.598400,08/21/2016
6262,Qui-Gon Jinn,RI,23.25,Dandelion Fluff,218.00,3.80,1.10,828.40,239.80,248.356500,1316.556500,04/17/2017
6263,Darth Vader,LF,13.31,Active Transition Buffer,184.00,39.06,2.20,7187.04,404.80,1010.473904,8602.313904,12/06/2016
6269,Anakin Skywalker,RK,31.00,Negative Flux Conduit,282.00,34.61,3.00,9760.02,846.00,3287.8662,13893.8862,12/07/2016
6273,Leonard McCoy,SO,39.00,Holographic Variance Sensor,36.00,37.49,1.83,1349.64,65.88,552.0528,1967.5728,02/04/2019
6273,Doctor Who,TA,36.00,Modular Holographic Interference Drive,229.00,31.21,0.92,7147.09,210.68,2648.7972,10006.5672,11/28/2017
6274,Tasha Yar,RG,53.24,Holographic Variance Sensor,280.00,37.49,1.83,10497.20,512.40,5861.511040,16871.111040,03/18/2017
6275,Hiro Protagonist,WZ,42.90,Holographic Variance Sensor,169.00,37.49,1.83,6335.81,309.27,2850.73932,9495.81932,08/21/2017
6279,Data,WG,18.89,Duotronic Interference Actuator,324.00,36.30,1.00,11761.20,324.00,2282.894280,14368.094280,09/15/2017
6280,Amy Pond,FO,33.19,Forward Ion Pulse Capacitor,190.00,1.09,2.00,207.10,380.00,194.858490,781.958490,08/07/2018
6281,Sarah Jane Smith,WR,7.59,Dandelion Fluff,200.00,3.80,1.10,760.00,220.00,74.382000,1054.382000,06/09/2017
6290,Doctor Who,FO,33.19,Duotronic Interference Actuator,74.00,36.30,1.00,2686.20,74.00,916.110380,3676.310380,12/24/2016
6291,Odo,CV,53.24,Negative Flux Conduit,93.00,34.61,3.00,3218.73,279.00,1862.191452,5359.921452,05/29/2017
6292,Anakin Skywalker,FC,50.37,Universal Gravitronic Dissipation Node,229.00,16.87,4.68,3863.23,1071.72,2485.734315,7420.684315,10/10/2018
6297,Jabba the Hutt,LI,24.47,Quantum Replication System,10.00,16.50,3.30,165.00,33.00,48.450600,246.450600,08/17/2018
6298,Amy Pond,SR,43.02,Rose Petals,282.00,203.00,1.00,57246.00,282.00,24748.545600,82276.545600,05/17/2019
6299,R2-D2,LB,15.80,Molten Lava,143.00,668.78,53.90,95635.54,7707.70,16328.23192,119671.47192,02/28/2018
6300,Jack O'Neill,AS,28.74,Duotronic Interference Actuator,220.00,36.30,1.00,7986.00,220.00,2358.404400,10564.404400,11/28/2017
6306,Odo,CB,1.00,Holographic Variance Sensor,130.00,37.49,1.83,4873.70,237.90,51.1160,5162.7160,11/18/2016
6309,Pavel Chekov,SR,43.02,Negative Control Compensator,225.00,23.10,1.00,5197.50,225.00,2332.759500,7755.259500,06/08/2018
6318,Worf,RK,31.00,Starboard Molecular Transference Grid,139.00,26.00,2.20,3614.00,305.80,1215.1380,5134.9380,09/07/2018
6319,Jack O'Neill,RC,42.00,Universal Degeneration Emitter,96.00,28.00,3.88,2688.00,372.48,1285.4016,4345.8816,03/01/2017
6322,Tasha Yar,BM,-3.30,Bioneural Polarization Coil,216.00,36.10,3.99,7797.60,861.84,-285.76152,8373.67848,01/22/2017
6328,Geordi La Forge,HM,36.00,Particle Deflector Grid,338.00,44.33,4.84,14983.54,1635.92,5983.0056,22602.4656,10/17/2017
6329,Chakotay,CY,-4.00,Dandelion Fluff,265.00,3.80,1.10,1007.00,291.50,-51.9400,1246.5600,05/21/2017
6330,Art3mis,CR,0.99,Duotronic Interference Actuator,177.00,36.30,1.00,6425.10,177.00,65.360790,6667.460790,02/20/2018
6331,Geordi La Forge,DM,30.27,Secondary Transition Regulator,201.00,35.69,3.30,7173.69,663.30,2372.256873,10209.246873,12/23/2016
6333,Worf,CM,18.54,Starboard Molecular Transference Grid,124.00,26.00,2.20,3224.00,272.80,648.306720,4145.106720,04/21/2019
6334,Obi-Wan Kenobi,CA,32.64,Rose Petals,82.00,203.00,1.00,16646.00,82.00,5460.019200,22188.019200,03/31/2017
6338,Doctor Who,FC,50.37,Negative Control Compensator,47.00,23.10,1.00,1085.70,47.00,570.540990,1703.240990,02/20/2017
6340,Amy Pond,RG,53.24,Central Frequency Conduit,287.00,18.70,0.34,5366.90,97.58,2909.289152,8373.769152,08/27/2018
6341,Rae Sloane,TA,36.00,Reserve Axial Dissipation Inverter,139.00,0.00,3.36,0.00,467.04,168.1344,635.1744,12/08/2017
6346,Teal'c,RK,31.00,Gravitronic Polarization Sequencer,102.00,7.82,1.81,797.64,184.62,304.5006,1286.7606,02/04/2017
6355,Art3mis,PB,12.00,Quantum Dissipation Matrix,83.00,31.39,0.58,2605.37,48.14,318.4212,2971.9312,04/11/2017
6359,Teal'c,BM,-3.30,Starboard Duotronic Transition Multiplexer,172.00,20.41,3.63,3510.52,624.36,-136.45104,3998.42896,10/18/2017
6360,Rae Sloane,PB,12.00,Primary Flux Matrix,176.00,9.27,0.00,1631.52,0.00,195.7824,1827.3024,04/21/2019
6365,Jango Fett,LA,0.00,Modular Inertial Replication Scanner,175.00,7.70,3.00,1347.50,525.00,0.0000,1872.5000,08/30/2019
6374,Senator Palpatine,DM,30.27,Duotronic Phase Coil,170.00,51.70,2.84,8789.00,482.80,2806.573860,12078.373860,11/08/2017
6375,Tasha Yar,TS,29.62,Negative Flux Conduit,323.00,34.61,3.00,11179.03,969.00,3598.246486,15746.276486,09/23/2015
6384,Sarah Jane Smith,WZ,42.90,Inertial Control Modulator,189.00,38.38,0.68,7253.82,128.52,3167.02386,10549.36386,10/24/2016
6385,Boba Fett,PB,12.00,Subspace Transference Cell,188.00,45.49,2.37,8552.12,445.56,1079.7216,10077.4016,04/08/2017
6386,Amy Pond,CB,1.00,Duotronic Interference Actuator,133.00,36.30,1.00,4827.90,133.00,49.6090,5010.5090,10/17/2016
6387,C-3PO,FH,-3.71,Forward Ion Pulse Capacitor,48.00,1.09,2.00,52.32,96.00,-5.502672,142.817328,02/21/2016
6390,Jango Fett,CV,53.24,Dynamic Resonance Buffer,275.00,18.70,4.08,5142.50,1122.00,3335.219800,9599.719800,07/02/2018
6391,Amy Pond,BF,30.80,Modular Holographic Interference Drive,320.00,31.21,0.92,9987.20,294.40,3166.73280,13448.33280,12/28/2016
6392,Doctor Who,IC,0.00,Quantum Replication System,164.00,16.50,3.30,2706.00,541.20,0.0000,3247.2000,08/02/2018
6397,Quark,CM,18.54,Tachyon Frequency Matrix,234.00,47.00,1.00,10998.00,234.00,2082.412800,13314.412800,02/04/2019
6398,River Song,SO,39.00,Negative Isolinear Control Cell,276.00,16.50,2.02,4554.00,557.52,1993.4928,7105.0128,05/27/2017
6399,Pavel Chekov,LA,0.00,Molten Lava,153.00,668.78,53.90,102323.34,8246.70,0.0000,110570.0400,10/18/2018
6400,Hiro Protagonist,DM,30.27,Subspace Phase Circuit,206.00,30.25,1.00,6231.50,206.00,1948.631250,8386.131250,02/21/2017
6404,Daniel Jackson,WE,15.00,Secondary Polarization Capacitor,232.00,33.00,3.27,7656.00,758.64,1262.1960,9676.8360,03/10/2018
6405,Geordi La Forge,DO,39.00,Duotronic Phase Coil,193.00,51.70,2.84,9978.10,548.12,4105.2258,14631.4458,06/02/2018
6405,Ender Wiggin,BS,40.62,Forward Ion Pulse Capacitor,338.00,1.09,2.00,368.42,676.00,424.243404,1468.663404,09/14/2017
6410,Darth Sidious,DO,39.00,Duotronic Field Transducer,234.00,20.57,3.63,4813.38,849.42,2208.4920,7871.2920,12/20/2016
6411,Anakin Skywalker,IR,21.00,Negative Control Compensator,329.00,23.10,1.00,7599.90,329.00,1665.0690,9593.9690,11/25/2015
6412,BB-8,CR,0.99,Secondary Transition Regulator,133.00,35.69,3.30,4746.77,438.90,51.338133,5237.008133,10/18/2017
6419,Darth Vader,HR,-3.00,Marmite,265.00,-1.84,3.30,-487.60,874.50,-11.6070,375.2930,10/13/2018
6420,Jango Fett,BM,-3.30,Modular Holographic Interference Drive,153.00,31.21,0.92,4775.13,140.76,-162.22437,4753.66563,10/21/2017
6421,Anakin Skywalker,LS,1.10,Negative Control Compensator,234.00,23.10,1.00,5405.40,234.00,62.03340,5701.43340,09/29/2017
6422,Jango Fett,RO,15.00,Central Frequency Conduit,199.00,18.70,0.34,3721.30,67.66,568.3440,4357.3040,05/21/2018
6423,Anakin Skywalker,DB,26.62,Duotronic Field Transducer,192.00,20.57,3.63,3949.44,696.96,1236.871680,5883.271680,06/19/2017
6432,Quark,BM,-3.30,Inertial Transference Modulator,170.00,32.72,0.00,5562.40,0.00,-183.55920,5378.84080,09/14/2016
6440,Rae Sloane,DO,39.00,Dynamic Resonance Buffer,220.00,18.70,4.08,4114.00,897.60,1954.5240,6966.1240,10/16/2017
6441,Anakin Skywalker,GT,27.00,Inertial Control Modulator,109.00,38.38,0.68,4183.42,74.12,1149.5358,5407.0758,09/16/2017
6442,Ender Wiggin,LM,41.00,Auxiliary Transition Buffer,200.00,37.33,4.42,7466.00,884.00,3423.5000,11773.5000,06/21/2017
6449,Tasha Yar,MM,5.19,Starboard Molecular Transference Grid,134.00,26.00,2.20,3484.00,294.80,196.119720,3974.919720,11/25/2017
6451,James T. Kirk,FM,18.70,Dynamic Resonance Buffer,220.00,18.70,4.08,4114.00,897.60,937.16920,5948.76920,10/04/2017
6458,Donna Noble,FO,33.19,Quantum Replication System,292.00,16.50,3.30,4818.00,963.60,1918.913040,7700.513040,10/04/2018
6459,Sarah Jane Smith,RK,31.00,Marmite,130.00,-1.84,3.30,-239.20,429.00,58.8380,248.6380,09/26/2016
6460,Luke Skywalker,RK,31.00,Primary Flux Matrix,209.00,9.27,0.00,1937.43,0.00,600.6033,2538.0333,09/01/2017
6467,William Riker,PM,1.10,Dynamic Resonance Buffer,330.00,18.70,4.08,6171.00,1346.40,82.69140,7600.09140,10/02/2016
6468,Art3mis,CC,38.00,Tachyon Frequency Matrix,160.00,47.00,1.00,7520.00,160.00,2918.4000,10598.4000,10/21/2015
6469,Darth Vader,RO,15.00,Duotronic Field Transducer,197.00,20.57,3.63,4052.29,715.11,715.1100,5482.5100,07/24/2017
6474,Pavel Chekov,CA,32.64,Active Dissipation Actuator,255.00,25.43,1.03,6484.65,262.65,2202.318720,8949.618720,10/07/2018
6477,Quark,GT,27.00,Modular Holographic Interference Drive,354.00,31.21,0.92,11048.34,325.68,3070.9854,14445.0054,09/22/2016
6482,Darth Vader,AM,16.94,Modular Holographic Interference Drive,170.00,31.21,0.92,5305.70,156.40,925.279740,6387.379740,05/29/2017
6483,Darth Maul,TA,36.00,Modular Holographic Interference Drive,131.00,31.21,0.92,4088.51,120.52,1515.2508,5724.2808,12/14/2017
6484,Sarah Jane Smith,OS,29.83,Universal Gravitronic Dissipation Node,195.00,16.87,4.68,3289.65,912.60,1253.531175,5455.781175,11/11/2017
6485,Leonard McCoy,DB,26.62,Dandelion Fluff,62.00,3.80,1.10,235.60,68.20,80.871560,384.671560,01/07/2017
6486,Admiral Gial Ackbar,RC,42.00,Burlap,156.00,6.60,0.00,1029.60,0.00,432.4320,1462.0320,05/10/2018
6490,K-9,BM,-3.30,Active Transition Buffer,244.00,39.06,2.20,9530.64,536.80,-332.22552,9735.21448,12/27/2017
6491,Q,FO,33.19,Forward Ion Pulse Capacitor,273.00,1.09,2.00,297.57,546.00,279.980883,1123.550883,12/06/2016
6492,Darth Maul,WO,37.40,Quantum Replication System,202.00,16.50,3.30,3333.00,666.60,1495.85040,5495.45040,06/28/2018
6492,Data,RS,36.92,Reserve Axial Dissipation Inverter,335.00,0.00,3.36,0.00,1125.60,415.571520,1541.171520,07/21/2019
6498,Senator Palpatine,BO,21.56,Universal Degeneration Emitter,297.00,28.00,3.88,8316.00,1152.36,2041.378416,11509.738416,05/01/2018
6499,Wesley Crusher,CH,43.33,Modular Holographic Interference Drive,134.00,31.21,0.92,4182.14,123.28,1865.538486,6170.958486,02/16/2018
6500,Clara Oswald,CV,53.24,Negative Transference Index,262.00,18.41,3.00,4823.42,786.00,2986.455208,8595.875208,12/11/2017
6501,Rae Sloane,LO,10.37,Negative Control Compensator,175.00,23.10,1.00,4042.50,175.00,437.354750,4654.854750,06/15/2017
6503,Rory Williams,TA,36.00,Rose Petals,161.00,203.00,1.00,32683.00,161.00,11823.8400,44667.8400,05/21/2017
6504,Wesley Crusher,RG,53.24,Secondary Polarization Capacitor,124.00,33.00,3.27,4092.00,405.48,2394.458352,6891.938352,09/11/2017
6513,R2-D2,FA,34.00,Modular Transition Modulator,287.00,44.53,1.10,12780.11,315.70,4452.5754,17548.3854,02/24/2017
6514,Daniel Jackson,RK,31.00,Negative Polarization Grid,162.00,20.28,2.63,3285.36,426.06,1150.5402,4861.9602,01/09/2017
6515,Admiral Gial Ackbar,HM,36.00,Starboard Molecular Transference Grid,87.00,26.00,2.20,2262.00,191.40,883.2240,3336.6240,06/24/2018
6516,Samantha Carter,CA,32.64,Starboard Molecular Transference Grid,191.00,26.00,2.20,4966.00,420.20,1758.055680,7144.255680,09/27/2017
6517,Hiro Protagonist,TF,36.00,Inertial Control Modulator,134.00,38.38,0.68,5142.92,91.12,1884.2544,7118.2944,10/19/2018
6518,Samantha Carter,HR,-3.00,Negative Flux Conduit,259.00,34.61,3.00,8963.99,777.00,-292.2297,9448.7603,12/27/2017
6525,Hiro Protagonist,RI,23.25,Negative Polarization Grid,210.00,20.28,2.63,4258.80,552.30,1118.580750,5929.680750,07/20/2017
6526,Hiro Protagonist,ED,40.00,Secondary Polarization Capacitor,106.00,33.00,3.27,3498.00,346.62,1537.8480,5382.4680,02/11/2017
6529,Samantha Carter,CI,30.25,Magnetic Confinement Injector,264.00,11.98,4.00,3162.72,1056.00,1276.162800,5494.882800,07/28/2018
6529,Wade Watts,GT,27.00,Negative Flux Conduit,213.00,34.61,3.00,7371.93,639.00,2162.9511,10173.8811,09/28/2018
6530,Darth Sidious,GT,27.00,Active Transition Buffer,348.00,39.06,2.20,13592.88,765.60,3876.7896,18235.2696,07/20/2018
6530,Amy Pond,MM,5.19,Holographic Transition Multiplexer,202.00,47.00,2.20,9494.00,444.40,515.802960,10454.202960,09/28/2017
6533,Art3mis,TS,29.62,Starboard Molecular Transference Grid,205.00,26.00,2.20,5330.00,451.00,1712.332200,7493.332200,02/28/2018
6534,Data,RK,31.00,Holographic Variance Sensor,264.00,37.49,1.83,9897.36,483.12,3217.9488,13598.4288,01/21/2018
6543,Neelix,CO,39.93,Primary Flux Matrix,133.00,9.27,0.00,1232.91,0.00,492.300963,1725.210963,06/15/2017
